0,3535,43.4077%
1317,3530,43.2049%
1323,3524,42.9615%
1326,3522,42.8803%
1327,3520,42.7992%
1335,3519,42.7586%
1342,3511,42.4341%
1367,3510,42.3935%
1368,3507,42.2718%
1372,3506,42.2312%
1374,3505,42.1907%
1378,3504,42.1501%
1380,3501,42.0284%
1382,3500,41.9878%
1384,3498,41.9067%
1385,3495,41.785%
1437,3494,41.7444%
1439,3491,41.6227%
1447,3488,41.501%
1480,3483,41.2982%
1482,3477,41.0548%
1751,3475,40.9736%
1759,3467,40.6491%
1766,3464,40.5274%
1769,3463,40.4868%
1772,3453,40.0811%
1779,3451,40%
1782,3447,39.8377%
1785,3442,39.6349%
1788,3441,39.5943%
1792,3439,39.5132%
1796,3435,39.3509%
1834,3434,39.3103%
1841,3430,39.1481%
1844,3428,39.0669%
1859,3427,39.0264%
1895,3413,38.4584%
1898,3410,38.3367%
1904,3404,38.0933%
1943,3402,38.0122%
1951,3401,37.9716%
1968,3398,37.8499%
2086,3397,37.8093%
2091,3396,37.7688%
2094,3395,37.7282%
2098,3391,37.5659%
2099,3390,37.5254%
2109,3389,37.4848%
2148,3388,37.4442%
2229,3379,37.0791%
2242,3378,37.0385%
2249,3377,36.998%
2266,3376,36.9574%
2273,3375,36.9168%
2281,3373,36.8357%
2283,3372,36.7951%
2286,3371,36.7546%
2290,3369,36.6734%
2291,3363,36.43%
2299,3360,36.3083%
2301,3359,36.2677%
2306,3356,36.146%
2399,3352,35.9838%
2554,3345,35.6998%
2618,3338,35.4158%
2627,3337,35.3753%
2670,3327,34.9696%
2704,3321,34.7262%
2705,3319,34.645%
2843,3316,34.5233%
2891,3315,34.4828%
2972,3314,34.4422%
2976,3312,34.3611%
2980,3307,34.1582%
3033,3304,34.0365%
3034,3299,33.8337%
3036,3296,33.712%
3040,3293,33.5903%
3042,3290,33.4686%
3046,3289,33.428%
3055,3285,33.2657%
3078,3282,33.144%
3090,3280,33.0629%
3099,3279,33.0223%
3101,3278,32.9817%
3103,3271,32.6978%
3113,3267,32.5355%
3117,3261,32.2921%
3123,3256,32.0892%
3229,3254,32.0081%
3261,3251,31.8864%
3333,3250,31.8458%
3438,3249,31.8053%
3444,3248,31.7647%
3449,3241,31.4807%
3482,3240,31.4402%
3490,3236,31.2779%
3491,3233,31.1562%
3500,3231,31.0751%
3501,3230,31.0345%
3502,3229,30.9939%
3599,3225,30.8316%
3719,3224,30.7911%
3959,3223,30.7505%
3961,3221,30.6694%
4077,3220,30.6288%
4083,3219,30.5882%
4084,3217,30.5071%
4088,3213,30.3448%
4093,3212,30.3043%
4097,3209,30.1826%
4106,3208,30.142%
4107,3207,30.1014%
4108,3206,30.0609%
4115,3205,30.0203%
4117,3204,29.9797%
4219,3203,29.9391%
4462,3202,29.8986%
4480,3201,29.858%
4483,3195,29.6146%
4506,3187,29.2901%
4522,3186,29.2495%
4565,3180,29.0061%
4618,3178,28.9249%
4619,3176,28.8438%
4626,3174,28.7627%
4788,3173,28.7221%
4813,3168,28.5193%
5135,3159,28.1542%
5143,3158,28.1136%
5152,3152,27.8702%
5292,3150,27.789%
5295,3147,27.6673%
5354,3146,27.6268%
5360,3145,27.5862%
5363,3141,27.4239%
5366,3138,27.3022%
5369,3136,27.2211%
5374,3127,26.856%
5375,3126,26.8154%
5377,3119,26.5314%
5384,3118,26.4909%
5386,3117,26.4503%
5388,3116,26.4097%
5422,3114,26.3286%
5504,3113,26.288%
5588,3111,26.2069%
5598,3106,26.0041%
5670,3102,25.8418%
5697,3101,25.8012%
5764,3100,25.7606%
5774,3096,25.5984%
5780,3094,25.5172%
5891,3086,25.1927%
5897,3074,24.7059%
6256,3073,24.6653%
6296,3070,24.5436%
6379,3069,24.503%
6669,3066,24.3813%
6991,3065,24.3408%
6994,3060,24.1379%
7030,3059,24.0974%
7102,3054,23.8945%
7179,3046,23.57%
7239,3045,23.5294%
7353,3038,23.2454%
7922,3036,23.1643%
8354,3030,22.9209%
8634,3029,22.8803%
8666,3028,22.8398%
8672,3027,22.7992%
8812,3025,22.7181%
9173,3024,22.6775%
9198,3020,22.5152%
9206,3017,22.3935%
9233,3016,22.3529%
9317,3011,22.1501%
9330,3010,22.1095%
9757,3009,22.069%
10178,3007,21.9878%
10194,3006,21.9473%
10197,3004,21.8661%
10198,3003,21.8256%
10254,2995,21.501%
10664,2993,21.4199%
10750,2992,21.3793%
10811,2991,21.3387%
10873,2981,20.9331%
11191,2974,20.6491%
11243,2973,20.6085%
11745,2971,20.5274%
12037,2970,20.4868%
12207,2968,20.4057%
12695,2967,20.3651%
13024,2960,20.0811%
13138,2953,19.7972%
16239,2951,19.716%
17215,2950,19.6755%
17530,2943,19.3915%
17623,2940,19.2698%
18497,2938,19.1886%
18644,2933,18.9858%
19691,2927,18.7424%
20407,2920,18.4584%
20888,2918,18.3773%
20986,2916,18.2961%
21428,2909,18.0122%
24660,2902,17.7282%
24704,2901,17.6876%
24974,2892,17.3225%
28403,2888,17.1602%
29585,2887,17.1197%
29715,2883,16.9574%
31321,2880,16.8357%
31958,2871,16.4706%
32088,2870,16.43%
32315,2869,16.3895%
32612,2862,16.1055%
34003,2860,16.0243%
34037,2856,15.8621%
34094,2855,15.8215%
34127,2846,15.4564%
34181,2839,15.1724%
35065,2838,15.1318%
35498,2837,15.0913%
38350,2830,14.8073%
38454,2829,14.7667%
38624,2828,14.7262%
38748,2827,14.6856%
39514,2826,14.645%
39643,2823,14.5233%
41799,2822,14.4828%
41973,2816,14.2394%
45609,2813,14.1176%
46738,2812,14.0771%
48514,2804,13.7525%
48527,2803,13.712%
48600,2801,13.6308%
48847,2799,13.5497%
49019,2796,13.428%
