0,3535,43.4077%
413,3534,43.3671%
417,3531,43.2454%
419,3530,43.2049%
420,3529,43.1643%
421,3528,43.1237%
427,3524,42.9615%
429,3523,42.9209%
438,3521,42.8398%
443,3520,42.7992%
445,3517,42.6775%
459,3515,42.5963%
460,3514,42.5558%
465,3511,42.4341%
467,3509,42.3529%
469,3507,42.2718%
471,3501,42.0284%
473,3499,41.9473%
474,3494,41.7444%
475,3493,41.7039%
476,3489,41.5416%
482,3479,41.1359%
485,3472,40.8519%
486,3471,40.8114%
488,3467,40.6491%
493,3461,40.4057%
497,3460,40.3651%
499,3459,40.3245%
502,3458,40.284%
504,3451,40%
508,3449,39.9189%
511,3447,39.8377%
515,3441,39.5943%
529,3436,39.3915%
533,3434,39.3103%
546,3430,39.1481%
548,3429,39.1075%
549,3424,38.9047%
550,3418,38.6613%
554,3417,38.6207%
557,3413,38.4584%
558,3411,38.3773%
559,3410,38.3367%
560,3405,38.1339%
561,3401,37.9716%
563,3398,37.8499%
564,3393,37.6471%
565,3388,37.4442%
569,3381,37.1602%
571,3380,37.1197%
575,3374,36.8763%
578,3371,36.7546%
581,3370,36.714%
583,3369,36.6734%
584,3365,36.5112%
587,3361,36.3489%
591,3360,36.3083%
592,3357,36.1866%
600,3348,35.8215%
610,3347,35.7809%
614,3338,35.4158%
693,3337,35.3753%
704,3335,35.2941%
705,3333,35.213%
727,3331,35.1318%
751,3330,35.0913%
754,3323,34.8073%
756,3322,34.7667%
763,3321,34.7262%
764,3314,34.4422%
771,3313,34.4016%
775,3312,34.3611%
781,3311,34.3205%
803,3310,34.2799%
836,3309,34.2394%
867,3305,34.0771%
869,3304,34.0365%
875,3294,33.6308%
876,3292,33.5497%
880,3282,33.144%
881,3280,33.0629%
890,3279,33.0223%
894,3277,32.9412%
900,3275,32.86%
901,3273,32.7789%
902,3259,32.211%
911,3253,31.9675%
913,3248,31.7647%
916,3243,31.5619%
917,3242,31.5213%
920,3234,31.1968%
922,3232,31.1156%
926,3231,31.0751%
940,3228,30.9533%
941,3222,30.7099%
951,3218,30.5477%
954,3217,30.5071%
957,3216,30.4665%
964,3212,30.3043%
1002,3208,30.142%
1051,3206,30.0609%
1061,3198,29.7363%
1226,3194,29.574%
1238,3191,29.4523%
1247,3187,29.2901%
1249,3186,29.2495%
1286,3185,29.2089%
1295,3178,28.9249%
1328,3177,28.8844%
1333,3174,28.7627%
1339,3167,28.4787%
1347,3164,28.357%
1352,3163,28.3164%
1353,3159,28.1542%
1364,3156,28.0325%
1368,3155,27.9919%
1375,3154,27.9513%
1378,3153,27.9108%
1492,3152,27.8702%
1496,3150,27.789%
1503,3143,27.5051%
1514,3140,27.3834%
1525,3138,27.3022%
1553,3133,27.0994%
1560,3131,27.0183%
1567,3129,26.9371%
1568,3123,26.6937%
1603,3115,26.3692%
1616,3112,26.2475%
1621,3111,26.2069%
1680,3109,26.1258%
1688,3108,26.0852%
1727,3107,26.0446%
1753,3102,25.8418%
1840,3101,25.8012%
1868,3097,25.6389%
1939,3096,25.5984%
1940,3093,25.4767%
2033,3092,25.4361%
2184,3091,25.3955%
2188,3084,25.1116%
2195,3078,24.8682%
2200,3076,24.787%
2208,3074,24.7059%
2210,3065,24.3408%
2279,3063,24.2596%
2288,3060,24.1379%
2350,3055,23.9351%
2361,3054,23.8945%
2366,3053,23.854%
2369,3046,23.57%
2377,3044,23.4888%
2379,3043,23.4483%
2393,3042,23.4077%
2416,3041,23.3671%
2447,3038,23.2454%
2489,3036,23.1643%
2618,3031,22.9615%
2644,3029,22.8803%
2661,3028,22.8398%
2690,3027,22.7992%
2703,3019,22.4746%
2889,3017,22.3935%
2903,3014,22.2718%
2943,3012,22.1907%
2948,3007,21.9878%
2954,3004,21.8661%
2965,3002,21.785%
2970,2994,21.4604%
2975,2992,21.3793%
2992,2991,21.3387%
3068,2988,21.217%
3191,2980,20.8925%
3688,2977,20.7708%
3769,2976,20.7302%
3792,2974,20.6491%
3942,2973,20.6085%
4067,2972,20.568%
4109,2970,20.4868%
4289,2968,20.4057%
4432,2966,20.3245%
4519,2961,20.1217%
4524,2958,20%
4526,2955,19.8783%
4529,2953,19.7972%
4596,2950,19.6755%
4881,2944,19.432%
4925,2941,19.3103%
5048,2935,19.0669%
5059,2931,18.9047%
5100,2929,18.8235%
5198,2928,18.783%
5215,2925,18.6613%
5225,2920,18.4584%
5226,2919,18.4179%
5232,2918,18.3773%
5237,2917,18.3367%
5239,2914,18.215%
5241,2913,18.1744%
5245,2909,18.0122%
5251,2907,17.931%
5271,2906,17.8905%
5322,2902,17.7282%
5340,2894,17.4037%
5361,2890,17.2414%
5378,2885,17.0385%
5426,2882,16.9168%
5473,2875,16.6329%
5520,2870,16.43%
6622,2869,16.3895%
7257,2866,16.2677%
7262,2865,16.2272%
7270,2864,16.1866%
7273,2862,16.1055%
7276,2861,16.0649%
7283,2860,16.0243%
7285,2859,15.9838%
7298,2857,15.9026%
7350,2856,15.8621%
7608,2853,15.7404%
7609,2850,15.6187%
7932,2847,15.497%
7962,2846,15.4564%
8744,2842,15.2941%
8871,2841,15.2535%
9315,2832,14.8884%
9395,2826,14.645%
9591,2825,14.6045%
9629,2824,14.5639%
9939,2821,14.4422%
9982,2819,14.3611%
10212,2817,14.2799%
10904,2816,14.2394%
11172,2807,13.8742%
12482,2806,13.8337%
12496,2796,13.428%
12619,2794,13.3469%
