0,3535,43.4077%
465,3533,43.3266%
467,3532,43.286%
468,3527,43.0832%
469,3524,42.9615%
470,3518,42.7181%
471,3515,42.5963%
476,3513,42.5152%
477,3510,42.3935%
478,3509,42.3529%
479,3507,42.2718%
480,3506,42.2312%
481,3501,42.0284%
482,3498,41.9067%
483,3495,41.785%
485,3489,41.5416%
486,3488,41.501%
489,3484,41.3387%
490,3481,41.217%
491,3478,41.0953%
496,3470,40.7708%
498,3468,40.6897%
500,3466,40.6085%
501,3464,40.5274%
502,3463,40.4868%
503,3462,40.4462%
504,3460,40.3651%
508,3454,40.1217%
510,3449,39.9189%
512,3447,39.8377%
518,3442,39.6349%
525,3439,39.5132%
529,3437,39.432%
539,3436,39.3915%
551,3434,39.3103%
558,3428,39.0669%
633,3427,39.0264%
639,3425,38.9452%
645,3422,38.8235%
653,3420,38.7424%
657,3419,38.7018%
658,3415,38.5396%
663,3411,38.3773%
668,3408,38.2556%
673,3405,38.1339%
683,3401,37.9716%
688,3393,37.6471%
692,3389,37.4848%
697,3388,37.4442%
701,3380,37.1197%
705,3379,37.0791%
707,3378,37.0385%
708,3370,36.714%
713,3367,36.5923%
717,3359,36.2677%
720,3355,36.1055%
726,3354,36.0649%
728,3353,36.0243%
732,3352,35.9838%
736,3347,35.7809%
742,3346,35.7404%
745,3343,35.6187%
748,3342,35.5781%
749,3338,35.4158%
756,3336,35.3347%
765,3333,35.213%
770,3332,35.1724%
772,3329,35.0507%
780,3325,34.8884%
784,3323,34.8073%
793,3322,34.7667%
794,3320,34.6856%
795,3318,34.6045%
799,3314,34.4422%
809,3311,34.3205%
812,3306,34.1176%
839,3305,34.0771%
851,3302,33.9554%
853,3291,33.5091%
864,3290,33.4686%
868,3285,33.2657%
869,3281,33.1034%
875,3280,33.0629%
882,3271,32.6978%
892,3268,32.5761%
893,3265,32.4544%
895,3262,32.3327%
901,3260,32.2515%
903,3258,32.1704%
909,3255,32.0487%
915,3253,31.9675%
919,3252,31.927%
1004,3251,31.8864%
1032,3249,31.8053%
1045,3246,31.6836%
1074,3245,31.643%
1080,3241,31.4807%
1082,3236,31.2779%
1221,3234,31.1968%
1225,3233,31.1562%
1231,3229,30.9939%
1233,3228,30.9533%
1240,3227,30.9128%
1256,3224,30.7911%
1260,3223,30.7505%
1263,3220,30.6288%
1276,3219,30.5882%
1295,3218,30.5477%
1304,3217,30.5071%
1308,3210,30.2231%
1311,3209,30.1826%
1422,3206,30.0609%
1496,3204,29.9797%
1600,3194,29.574%
1610,3185,29.2089%
1715,3184,29.1684%
1795,3179,28.9655%
1805,3170,28.6004%
1815,3169,28.5598%
1821,3162,28.2759%
1854,3156,28.0325%
1873,3148,27.7079%
1888,3141,27.4239%
1899,3140,27.3834%
1913,3131,27.0183%
1922,3123,26.6937%
2210,3116,26.4097%
2213,3111,26.2069%
2215,3110,26.1663%
