0,3535,43.41%
9499,3534,43.37%
9596,3527,43.08%
9717,3526,43.04%
9750,3523,42.92%
9765,3515,42.60%
9821,3509,42.35%
9977,3508,42.31%
9980,3506,42.23%
9987,3504,42.15%
10324,3503,42.11%
10919,3502,42.07%
11050,3501,42.03%
11149,3493,41.70%
11956,3488,41.50%
13324,3487,41.46%
13336,3486,41.42%
13349,3485,41.38%
13510,3483,41.30%
13824,3479,41.14%
14272,3470,40.77%
16005,3469,40.73%
16252,3460,40.37%
16260,3459,40.32%
16476,3447,39.84%
17540,3443,39.68%
17797,3440,39.55%
18809,3439,39.51%
19024,3429,39.11%
19613,3428,39.07%
19624,3426,38.99%
20622,3425,38.95%
21155,3424,38.90%
21159,3414,38.50%
21168,3413,38.46%
21213,3403,38.05%
22085,3400,37.93%
22096,3396,37.77%
22099,3391,37.57%
22146,3388,37.44%
22319,3381,37.16%
22767,3373,36.84%
22812,3362,36.39%
22900,3356,36.15%
24975,3355,36.11%
25156,3353,36.02%
25167,3352,35.98%
25249,3347,35.78%
26095,3345,35.70%
26369,3342,35.58%
26789,3340,35.50%
26896,3328,35.01%
26902,3321,34.73%
26960,3312,34.36%
27484,3310,34.28%
27731,3308,34.20%
27920,3300,33.87%
27987,3298,33.79%
28504,3297,33.75%
28720,3295,33.67%
28865,3294,33.63%
30983,3288,33.39%
31887,3285,33.27%
34926,3284,33.23%
34927,3278,32.98%
34930,3276,32.90%
35479,3275,32.86%
35486,3267,32.54%
35804,3260,32.25%
36295,3254,32.01%
36401,3253,31.97%
36797,3251,31.89%
37117,3246,31.68%
37241,3244,31.60%
37344,3242,31.52%
37380,3235,31.24%
37874,3233,31.16%
41512,3230,31.03%
41774,3225,30.83%
41784,3224,30.79%
41899,3219,30.59%
41910,3213,30.34%
41913,3212,30.30%
42628,3209,30.18%
43018,3203,29.94%
43186,3202,29.90%
43459,3201,29.86%
44022,3200,29.82%
44024,3199,29.78%
44606,3198,29.74%
46029,3192,29.49%
47262,3191,29.45%
49183,3183,29.13%
49561,3182,29.09%
49662,3181,29.05%
