0,3535,43.4077%
15,3528,43.1237%
17,3527,43.0832%
19,3526,43.0426%
25,3523,42.9209%
26,3518,42.7181%
31,3514,42.5558%
32,3513,42.5152%
39,3509,42.3529%
40,3507,42.2718%
46,3506,42.2312%
48,3504,42.1501%
59,3497,41.8661%
101,3496,41.8256%
103,3486,41.4199%
106,3482,41.2576%
107,3480,41.1765%
112,3477,41.0548%
119,3474,40.9331%
121,3470,40.7708%
123,3464,40.5274%
130,3461,40.4057%
132,3457,40.2434%
136,3447,39.8377%
145,3446,39.7972%
146,3445,39.7566%
147,3444,39.716%
148,3443,39.6755%
151,3431,39.1886%
155,3429,39.1075%
156,3427,39.0264%
160,3426,38.9858%
161,3424,38.9047%
165,3422,38.8235%
169,3419,38.7018%
171,3415,38.5396%
177,3412,38.4179%
184,3410,38.3367%
185,3409,38.2961%
208,3408,38.2556%
216,3405,38.1339%
220,3401,37.9716%
234,3396,37.7688%
241,3393,37.6471%
287,3385,37.3225%
297,3382,37.2008%
298,3380,37.1197%
303,3376,36.9574%
304,3375,36.9168%
306,3372,36.7951%
308,3369,36.6734%
312,3364,36.4706%
319,3361,36.3489%
322,3358,36.2272%
325,3357,36.1866%
332,3354,36.0649%
336,3349,35.8621%
348,3348,35.8215%
349,3341,35.5375%
356,3340,35.497%
359,3339,35.4564%
366,3337,35.3753%
375,3335,35.2941%
379,3333,35.213%
382,3332,35.1724%
398,3329,35.0507%
402,3323,34.8073%
455,3321,34.7262%
460,3320,34.6856%
461,3319,34.645%
463,3318,34.6045%
465,3314,34.4422%
475,3309,34.2394%
481,3304,34.0365%
482,3302,33.9554%
483,3301,33.9148%
492,3296,33.712%
494,3295,33.6714%
495,3288,33.3874%
500,3287,33.3469%
501,3280,33.0629%
502,3277,32.9412%
503,3274,32.8195%
506,3272,32.7383%
507,3269,32.6166%
516,3266,32.4949%
562,3265,32.4544%
587,3261,32.2921%
594,3260,32.2515%
596,3249,31.8053%
605,3247,31.7241%
606,3244,31.6024%
613,3241,31.4807%
615,3238,31.359%
618,3235,31.2373%
619,3232,31.1156%
790,3231,31.0751%
812,3226,30.8722%
840,3225,30.8316%
847,3224,30.7911%
850,3223,30.7505%
852,3212,30.3043%
858,3210,30.2231%
859,3209,30.1826%
867,3206,30.0609%
869,3205,30.0203%
873,3201,29.858%
878,3196,29.6552%
879,3194,29.574%
892,3192,29.4929%
894,3191,29.4523%
895,3190,29.4118%
899,3189,29.3712%
903,3188,29.3306%
980,3184,29.1684%
990,3180,29.0061%
997,3178,28.9249%
1005,3175,28.8032%
1115,3168,28.5193%
1244,3163,28.3164%
1264,3160,28.1947%
1416,3158,28.1136%
1428,3157,28.073%
1496,3153,27.9108%
1503,3152,27.8702%
1505,3146,27.6268%
1507,3143,27.5051%
1517,3141,27.4239%
1532,3137,27.2617%
1550,3136,27.2211%
1559,3129,26.9371%
1565,3128,26.8966%
1566,3127,26.856%
1572,3126,26.8154%
1593,3122,26.6531%
1600,3120,26.572%
1606,3119,26.5314%
1615,3117,26.4503%
1624,3116,26.4097%
1672,3114,26.3286%
1690,3113,26.288%
1694,3111,26.2069%
1705,3107,26.0446%
1706,3105,25.9635%
1710,3104,25.9229%
1721,3102,25.8418%
1751,3093,25.4767%
1893,3092,25.4361%
1915,3091,25.3955%
1986,3086,25.1927%
1994,3083,25.071%
2026,3082,25.0304%
2027,3081,24.9899%
2029,3080,24.9493%
2039,3079,24.9087%
2052,3076,24.787%
2062,3075,24.7465%
2066,3070,24.5436%
2098,3069,24.503%
2107,3068,24.4625%
2166,3067,24.4219%
2180,3066,24.3813%
2188,3063,24.2596%
2289,3060,24.1379%
2315,3055,23.9351%
2431,3050,23.7323%
2452,3049,23.6917%
2577,3044,23.4888%
2584,3043,23.4483%
2588,3042,23.4077%
2664,3041,23.3671%
2665,3032,23.002%
2670,3031,22.9615%
2673,3021,22.5558%
2680,3020,22.5152%
2686,3018,22.4341%
2687,3015,22.3124%
2688,3013,22.2312%
2695,3011,22.1501%
2784,3010,22.1095%
2894,3009,22.069%
2900,3006,21.9473%
2977,3002,21.785%
3236,3001,21.7444%
3245,2998,21.6227%
3256,2993,21.4199%
3263,2992,21.3793%
3273,2990,21.2982%
3278,2982,20.9736%
3361,2978,20.8114%
3374,2977,20.7708%
3375,2976,20.7302%
3379,2973,20.6085%
3380,2970,20.4868%
3388,2968,20.4057%
3441,2966,20.3245%
3463,2964,20.2434%
3554,2959,20.0406%
3662,2954,19.8377%
3674,2953,19.7972%
3762,2950,19.6755%
3773,2947,19.5538%
3783,2944,19.432%
4030,2938,19.1886%
4035,2937,19.1481%
4041,2927,18.7424%
4098,2926,18.7018%
4164,2925,18.6613%
4169,2923,18.5801%
4185,2918,18.3773%
4195,2917,18.3367%
4399,2910,18.0527%
4660,2903,17.7688%
4678,2901,17.6876%
4748,2898,17.5659%
5051,2894,17.4037%
5429,2890,17.2414%
5667,2887,17.1197%
5978,2886,17.0791%
6067,2877,16.714%
6081,2876,16.6734%
6088,2874,16.5923%
6146,2865,16.2272%
6181,2864,16.1866%
6184,2862,16.1055%
6438,2856,15.8621%
7550,2852,15.6998%
7604,2848,15.5375%
7883,2841,15.2535%
7996,2837,15.0913%
7998,2835,15.0101%
8020,2833,14.929%
8030,2830,14.8073%
8350,2823,14.5233%
8371,2818,14.3205%
8975,2813,14.1176%
8996,2812,14.0771%
9278,2811,14.0365%
9284,2810,13.9959%
9397,2808,13.9148%
9740,2807,13.8742%
10375,2806,13.8337%
10382,2805,13.7931%
11675,2803,13.712%
11798,2802,13.6714%
12273,2799,13.5497%
12320,2798,13.5091%
12602,2790,13.1846%
12616,2788,13.1034%
12862,2784,12.9412%
13601,2780,12.7789%
13619,2779,12.7383%
13623,2768,12.2921%
13981,2767,12.2515%
14110,2761,12.0081%
14343,2760,11.9675%
14349,2759,11.927%
14438,2758,11.8864%
15099,2756,11.8053%
15113,2748,11.4807%
16942,2739,11.1156%
17716,2737,11.0345%
17801,2735,10.9533%
18115,2732,10.8316%
18129,2730,10.7505%
18131,2729,10.7099%
18141,2727,10.6288%
19433,2726,10.5882%
19476,2720,10.3448%
19489,2716,10.1826%
19500,2715,10.142%
20018,2709,9.89858%
20422,2704,9.69574%
20434,2694,9.29006%
22166,2690,9.12779%
23868,2689,9.08722%
24031,2688,9.04665%
24484,2687,9.00609%
25136,2683,8.84381%
25469,2678,8.64097%
26351,2671,8.357%
26574,2668,8.23529%
26592,2667,8.19473%
27228,2665,8.11359%
27670,2664,8.07302%
27839,2663,8.03245%
27854,2662,7.99189%
27859,2661,7.95132%
27863,2659,7.87018%
27901,2658,7.82961%
27926,2655,7.70791%
27937,2654,7.66734%
28032,2650,7.50507%
29317,2642,7.18053%
29986,2640,7.09939%
30597,2639,7.05882%
32222,2629,6.65314%
